Name,Price,Reviews,URL,Price_Segment,Est_Revenue
BlitzWolf® BW-CML2 RGB Gaming Monitor Light Bar Dual Light Source 300-1000Lux Adjustable Cool/Mix/Warm Light Color Temperature Eye Protection Anti-Glare USB e-Reading Light Touch Control for Home Office PC Computer - CN Direct,16.25,1212.0,https://www.banggood.com/BlitzWolf-BW-CML2-RGB-Gaming-Monitor-Light-Bar-Dual-Light-Source-300-1000Lux-Adjustable-Cool-or-Mix-or-Warm-Light-Color-Temperature-Eye-Protection-Anti-Glare-USB-e-Reading-Light-Touch-Control-for-Home-Office-PC-Computer-p-1874092.html?rmmds=ComputersFlashDeals&cur_warehouse=CN&ID=6329378,Low Budget,19695.0
Vertical Docking Station for Mac Mini M4/M4 Pro With M.2 NVMe SSD Hard Drive Case SD/TF Port Expansion Stand HUB for Mac Mini M4 - Gray,41.8,0.0,https://www.banggood.com/Vertical-Docking-Station-for-Mac-Mini-M4-or-M4-Pro-With-M_2-NVMe-SSD-Hard-Drive-Case-SD-or-TF-Port-Expansion-Stand-HUB-for-Mac-Mini-M4-p-2039156.html?rmmds=ComputersFlashDeals&cur_warehouse=CN&ID=6157198,Low Budget,0.0
BlitzWolf® BW-VF3 Projector Stand Tripod Stable 360° Adjustment Aluminum Alloy Weight Capacity 10KG Portable For Outside Outdoor Movie Universal Projector Mount Compatible for Most Projector V3 V4 V5 V7 etc,13.93,182.0,https://www.banggood.com/BlitzWolf-BW-VF3-Projector-Stand-Tripod-Stable-360-Adjustment-Aluminum-Alloy-Weight-Capacity-10KG-Portable-For-Outside-Outdoor-Movie-Universal-Projector-Mount-Compatible-for-Most-Projector-V3-V4-V5-V7-etc-p-1992957.html?rmmds=ComputersFlashDeals&cur_warehouse=CN&ID=0,Low Budget,2535.2599999999998
MAIWO M1 M.2 NVMe PSSD Portable Solid State Drive 10Gbps Type-C Aluminum Alloy 2TB/1TB/512GB/256GB Support 4K ProRes Video Recording Mobile Phone Camera Drone Laptop - 512GB,51.09,0.0,https://www.banggood.com/MAIWO-M1-M_2-NVMe-PSSD-Portable-Solid-State-Drive-10Gbps-Type-C-Aluminum-Alloy-2TB-or-1TB-or-512GB-or-256GB-Support-4K-ProRes-Video-Recording-Mobile-Phone-Camera-Drone-Laptop-p-2023987.html?rmmds=ComputersRecommendation&cur_warehouse=CN&ID=519999,Mid Range,0.0
Universal Projector Mount 360° Rotation Adjustable Bracket 180° Tilt Desktop Wall Ceiling Mount Stand Holder for Camera Webcam Phone 5KG Loading - Black,9.28,0.0,https://www.banggood.com/Universal-Projector-Mount-360-Rotation-Adjustable-Bracket-180-Tilt-Desktop-Wall-Ceiling-Mount-Stand-Holder-for-Camera-Webcam-Phone-5KG-Loading-p-2037405.html?rmmds=ComputersRecommendation&cur_warehouse=CN&ID=224,Low Budget,0.0
MAIWO K35274D 4 Bay RAID External Hard Drive Enclosure with HD Port 3.5'' Type-C to SATA HDD SSD Enclosure Support 7 RAID Mode - Black,89.8,1.0,https://www.banggood.com/MAIWO-K35274D-4-Bay-RAID-External-Hard-Drive-Enclosure-with-HD-Port-3_5-Type-C-to-SATA-HDD-SSD-Enclosure-Support-7-RAID-Mode-p-2029040.html?rmmds=ComputersFlashDeals&cur_warehouse=CN&ID=6287830,Mid Range,89.8
100/120 Inch Portable Foldable HD Projector Screen 16:9 Aspect Ratio Black Backing Outdoor Movie Screen for Home Theater Wide 160 Degree Viewing Angle Easy Installation - 100 inch,20.12,1.0,https://www.banggood.com/100-or-120-Inch-Portable-Foldable-HD-Projector-Screen-16-9-Aspect-Ratio-Black-Backing-Outdoor-Movie-Screen-for-Home-Theater-Wide-160-Degree-Viewing-Angle-Easy-Installation-p-2037410.html?rmmds=ComputersRecommendation&cur_warehouse=CN&ID=49677,Low Budget,20.12
WL-DS1604 16-in-1 Type-C Vertical Docking Station with USB2.0*2 / USB3.1*2 / PD100W / Type-C*3 / 1000M LAN / 1080P VGA / 4K60HZ HD*2 / 8K30HzDP / 3.5mm Audio / SD&TF3.0 / Power Supply Desktop Multiports Splitter Adapter for Laptop TV Computer - Grey,85.15,0.0,https://www.banggood.com/WL-DS1604-16-in-1-Type-C-Vertical-Docking-Station-with-USB2_0+2-or-USB3_1+2-or-PD100W-or-Type-C+3-or-1000M-LAN-or-1080P-VGA-or-4K60HZ-HD+2-or-8K30HzDP-or-3_5mm-Audio-or-SDandTF3_0-or-Power-Supply-Desktop-Multiports-Splitter-Adapter-for-Laptop-TV-Computer-p-2044200.html?rmmds=ComputersRecommendation&cur_warehouse=CN&ID=6287836,Mid Range,0.0
MADLIONS MAD68 HE Magnetic Amber Switch Mechanical Gaming Keyboard Wired 68-Keys Hot Swappable RGB Light 8KHz Polling Rate RT 0.02mm Type-C Gamer Keyboards for PC Laptop Computer - White,47.99,0.0,https://www.banggood.com/MADLIONS-MAD68-HE-Magnetic-Amber-Switch-Mechanical-Gaming-Keyboard-Wired-68-Keys-Hot-Swappable-RGB-Light-8KHz-Polling-Rate-RT-0_02mm-Type-C-Gamer-Keyboards-for-PC-Laptop-Computer-p-2035351.html?rmmds=ComputersRecommendation&cur_warehouse=CN&ID=6287845,Low Budget,0.0
Lenovo ThinkPlus TPCU301plus Type-C USB3.0 Flash Drive Dual Metal Port 360° Rotation Heat Resistance OTG A+ Chip Fa - 32GB,6.96,2.0,https://www.banggood.com/Lenovo-ThinkPlus-TPCU301plus-Type-C-USB3_0-Flash-Drive-Dual-Metal-Port-360-Rotation-Heat-Resistance-OTG-A+-Chip-Fa-p-2031690.html?rmmds=ComputersFlashDeals&cur_warehouse=CN&ID=43653,Low Budget,13.92
Rocketek CR396 CFexpress Card Reader USB 3.2 Gen2 10Gbps High Speed Supports Type A and B Card Readers for Phone Tablet Photography - CFexpress type B,10.83,0.0,https://www.banggood.com/Rocketek-CR396-CFexpress-Card-Reader-USB-3_2-Gen2-10Gbps-High-Speed-Supports-Type-A-and-B-Card-Readers-for-Phone-Tablet-Photography-p-2044112.html?rmmds=ComputersRecommendation&cur_warehouse=CN&ID=6336083,Low Budget,0.0
Netac P500 TF Memory Card 64GB 128GB 256GB U3 V30 Class 10 High Speed Micro SD Card for Phone Camera Driving Recorde - 64GB,6.96,2.0,https://www.banggood.com/Netac-P500-TF-Memory-Card-64GB-128GB-256GB-U3-V30-Class-10-High-Speed-Micro-SD-Card-for-Phone-Camera-Driving-Recorde-p-2013094.html?rmmds=ComputersRecommendation&cur_warehouse=CN&ID=514256,Low Budget,13.92
D5 Ergonomic Vertical Wireless Mouse bluetooth Dual Mode Rechargeable Type-C Silent Click 6 Buttons 3 Level DPI Adjustable Mice - Black,10.06,0.0,https://www.banggood.com/D5-Ergonomic-Vertical-Wireless-Mouse-bluetooth-Dual-Mode-Rechargeable-Type-C-Silent-Click-6-Buttons-3-Level-DPI-Adjustable-Mice-p-2039824.html?rmmds=ComputersRecommendation&cur_warehouse=CN&ID=6287830,Low Budget,0.0
BlitzWolf® BW-TF1 Class 10 UHS-1 32GB UHS-3 V30 64GB 128GB Micro SD TF Memory Card with Adapter - 32GB,6.96,5053.0,https://www.banggood.com/BlitzWolf-BW-TF1-Class-10-UHS-1-32GB-UHS-3-V30-64GB-128GB-Micro-SD-TF-Memory-Card-with-Adapter-p-1490559.html?rmmds=ComputersFlashDeals&cur_warehouse=CN&ID=43653,Low Budget,35168.88
[EU Direct]Zhenevo Z2 1080P LCD Android 13.0 Projector 300 ANSI Lumens Support 4K Resolution WiFi6 BT5.0 Auto Keystone Correction and Focus Built-in Speaker Video Beamer Home Theater - EU Plug,85.15,37.0,https://www.banggood.com/EU-DirectZhenevo-Z2-1080P-LCD-Android-13_0-Projector-300-ANSI-Lumens-Support-4K-Resolution-WiFi6-BT5_0-Auto-Keystone-Correction-and-Focus-Built-in-Speaker-Video-Beamer-Home-Theater-p-2023360.html?rmmds=ComputersRecommendation&cur_warehouse=CN&ID=6294522,Mid Range,3150.55
