Category,Name,Price,Rating,Reviews,URL
Electronics,Geekcreit® DIY Radio Electronic Kit Parts 51 Single-chip FM Digital Sound Machine,£9.75,,43,https://www.banggood.com/Geekcreit-DIY-Radio-Electronic-Kit-Parts-51-Single-chip-FM-Digital-Sound-Machine-p-1982860.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=0
Electronics,2 in 1 Version WiFi Function Tuya And Smart Life Smoke Detector Sensor & Carbon Monoxide Co Gas Detector Smoke Fire Sound Alarm - 1Pcs,£13.15,,37,https://www.banggood.com/2-in-1-Version-WiFi-Function-Tuya-And-Smart-Life-Smoke-Detector-Sensor-and-Carbon-Monoxide-Co-Gas-Detector-Smoke-Fire-Sound-Alarm-p-1978139.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=6327276
Electronics,RIDEN® RD6018 RD6018W RD6024 RD6024W RD6030 Digital Switching Power Supply Case S800 Shell For Voltage Converter - Upper Cover Aluminum,£27.86,,65,https://www.banggood.com/RIDEN-RD6018-RD6018W-RD6024-RD6024W-RD6030-Digital-Switching-Power-Supply-Case-S800-Shell-For-Voltage-Converter-p-1995241.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=6323987
Electronics,ZHIYU® 60W / 110W 9.99A 30V Constant Current Electronic Load Aging Battery Capacity Tester - 60W,£12.26,,269,https://www.banggood.com/ZHIYU-60W-or-110W-9_99A-30V-Constant-Current-Electronic-Load-Aging-Battery-Capacity-Tester-p-1146280.html?rmmds=ElectronicsRecommendation&cur_warehouse=CN&ID=522661
Electronics,12V/24V/36V/48V 8-70V LCD Acid Lead 3.7V Lithium Battery Capacity Indicator Digital Voltmeter,£4.17,,275,https://www.banggood.com/12V-or-24V-or-36V-or-48V-8-70V-LCD-Acid-Lead-3_7V-Lithium-Battery-Capacity-Indicator-Digital-Voltmeter-p-1326158.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=0
Electronics,[EU/US Direct] ATOMSTACK Swift 7W Portable Laser Engraver 300x300mm 10000mm/min DIY Laser Cut Engraving Machine for Wood and Metal Dark Acrylic Glass Metal - Black EU Plug,£154.06,,0,https://www.banggood.com/EU-or-US-Direct-ATOMSTACK-Swift-7W-Portable-Laser-Engraver-300x300mm-10000mm-or-min-DIY-Laser-Cut-Engraving-Machine-for-Wood-and-Metal-Dark-Acrylic-Glass-Metal-p-2042356.html?bid=87998&akmClientCountry=HK&cur_warehouse=CZ&ID=628783047184
Electronics,0-30V 2mA - 3A Adjustable DC Regulated Power Supply Module DIY Kit,£6.05,,1795,https://www.banggood.com/0-30V-2mA-3A-Adjustable-DC-Regulated-Power-Supply-Module-DIY-Kit-p-958308.html?rmmds=ElectronicsRecommendation&cur_warehouse=CN&ID=0
Electronics,ABBREE AR-771S SMA Female Universal Soft Antenna For Baofeng UV5R UV5RH BF888S Quansheng - 1 Pcs,£5.41,,5,https://www.banggood.com/ABBREE-AR-771S-SMA-Female-Universal-Soft-Antenna-For-Baofeng-UV5R-UV5RH-BF888S-Quansheng-p-2036442.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=6308406
Electronics,AD-109 Magnetic Mount Mobile Antenna Dual Band VHF UHF 136-174MHz 400-520MHz High Gain 5M Cable for Baofeng UV-5R UV-5RH Ham Radio - PL-259,£12.38,,0,https://www.banggood.com/AD-109-Magnetic-Mount-Mobile-Antenna-Dual-Band-VHF-UHF-136-174MHz-400-520MHz-High-Gain-5M-Cable-for-Baofeng-UV-5R-UV-5RH-Ham-Radio-p-2039747.html?rmmds=ElectronicsFlashDeals
Electronics,WZ3605E CNC DC Buck-Boost Converter CC CV 36V 5A LCD Power Module Adjustable Regulated Power Supply Constant Voltmeter Ammeter,£13.49,,28,https://www.banggood.com/WZ3605E-CNC-DC-Buck-Boost-Converter-CC-CV-36V-5A-LCD-Power-Module-Adjustable-Regulated-Power-Supply-Constant-Voltmeter-Ammeter-p-1999853.html?rmmds=ElectronicsRecommendation&cur_warehouse=CN&ID=0
