Name,Price,Reviews,URL,Price_Segment,Est_Revenue
IPRee WVC-300/600/700W Wifi Version Solar On Grid Inverter AC110V ~230V IP65 Waterproof Grid Tie with Pure Sine Wave for Solar Power System - 300W,81.02,1.0,https://www.banggood.com/IPRee-WVC-300-or-600-or-700W-Wifi-Version-Solar-On-Grid-Inverter-AC110V-~230V-IP65-Waterproof-Grid-Tie-with-Pure-Sine-Wave-for-Solar-Power-System-p-2023701.html?rmmds=SportsRecommendation&cur_warehouse=CN&ID=528371,Mid Range,81.02
ANGWATT Speed Throttle For ANGWATT X1 ANGWATT CS1 ANGWATT F1 NEW ANGWATT T1 2.0 ANGWATT C1 2.0 ANGWATT C1 MAX ANGWATT T1 3.0 ANGWATT X1 2.0 ANGWATT CS1 PRO ANGWATT CS1 2025 - Black,10.61,11.0,https://www.banggood.com/ANGWATT-Speed-Throttle-For-ANGWATT-X1-ANGWATT-CS1-ANGWATT-F1-NEW-ANGWATT-T1-2_0-ANGWATT-C1-2_0-ANGWATT-C1-MAX-ANGWATT-T1-3_0-ANGWATT-X1-2_0-ANGWATT-CS1-PRO-ANGWATT-CS1-2025-p-2021141.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6287830,Low Budget,116.71
ANGWATT Round Brake Pad For ANGWATT CS1 ANGWATT F1 NEW ANGWATT CS1 2025 Electric Scooter Front Rear Scooter Disc Brake Pad Repair Tool Electric Scooter For ANGWATT CS1 ANGWATT F1 NEW,3.39,19.0,https://www.banggood.com/ANGWATT-Round-Brake-Pad-For-ANGWATT-CS1-ANGWATT-F1-NEW-ANGWATT-CS1-2025-Electric-Scooter-Front-Rear-Scooter-Disc-Brake-Pad-Repair-Tool-Electric-Scooter-For-ANGWATT-CS1-ANGWATT-F1-NEW-p-2020006.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=0,Low Budget,64.41
TENGOO Electric Heated Scarf Neck USB Charging Heating Pad 3 Temperature Adjustable Heating Neck Wrap Washable 3s Fast Heating for Men Women - Grey,14.31,2.0,https://www.banggood.com/TENGOO-Electric-Heated-Scarf-Neck-USB-Charging-Heating-Pad-3-Temperature-Adjustable-Heating-Neck-Wrap-Washable-3s-Fast-Heating-for-Men-Women-p-2025473.html?rmmds=SportsRecommendation&cur_warehouse=CN&ID=6287836,Low Budget,28.62
1000W Solar Panel 12V Solar Cell 20A Controller Solar Plate Kit For Phone RV Car Caravan Home Camping Outdoor Battery - Solar panel+20A Controller,23.9,0.0,https://www.banggood.com/1000W-Solar-Panel-12V-Solar-Cell-20A-Controller-Solar-Plate-Kit-For-Phone-RV-Car-Caravan-Home-Camping-Outdoor-Battery-p-2014664.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6326423,Low Budget,0.0
TENGOO HD-30 Heating Underwear Pant Set Thermal Long Sleeves Trousers Men Women Heated Suit USB Electric Thermal Underwear for Winter - L,56.51,0.0,https://www.banggood.com/TENGOO-HD-30-Heating-Underwear-Pant-Set-Thermal-Long-Sleeves-Trousers-Men-Women-Heated-Suit-USB-Electric-Thermal-Underwear-for-Winter-p-2023998.html?rmmds=SportsRecommendation&cur_warehouse=CN&ID=521823,Mid Range,0.0
ROCKBROS Magnetic Bicycle Taillight Smart Brake Light 7 Lighting Modes IPX6 Waterproof USB Rechargeable LED Bicycle Rear Light for Night Riding - Black,10.06,5.0,https://www.banggood.com/ROCKBROS-Magnetic-Bicycle-Taillight-Smart-Brake-Light-7-Lighting-Modes-IPX6-Waterproof-USB-Rechargeable-LED-Bicycle-Rear-Light-for-Night-Riding-p-2029377.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6287830,Low Budget,50.300000000000004
Bike Bell 130dB High Sound Bicycle Horn IPX6 Waterproof Anti-theft 250mAh USB Chargeable Electric Alarm Loud Horn for Bicycle Scooter,12.38,0.0,https://www.banggood.com/Bike-Bell-130dB-High-Sound-Bicycle-Horn-IPX6-Waterproof-Anti-theft-250mAh-USB-Chargeable-Electric-Alarm-Loud-Horn-for-Bicycle-Scooter-p-1997354.html?rmmds=SportsRecommendation&cur_warehouse=CN&ID=0,Low Budget,0.0
ANGWATT NFC Card For ANGWATT Instrument Suitable For ANGWATT X1 ANGWATT CS1 ANGWATT F1 NEW - Black,4.24,12.0,https://www.banggood.com/ANGWATT-NFC-Card-For-ANGWATT-Instrument-Suitable-For-ANGWATT-X1-ANGWATT-CS1-ANGWATT-F1-NEW-p-2024787.html?rmmds=SportsFlashDeals,Low Budget,50.88
TENGOO Summer Water Wading Shoes Unisex Outdoor Athletic Breathable Non-slip Hiking Shoes for Outdoors Fun - Black 41,13.15,2.0,https://www.banggood.com/TENGOO-Summer-Water-Wading-Shoes-Unisex-Outdoor-Athletic-Breathable-Non-slip-Hiking-Shoes-for-Outdoors-Fun-p-2010421.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=474406287830,Low Budget,26.3
TENGOO Outdoors Mesh Material Breathable Anti-slip Lightweight Casual Sport shoes for Running Basketball Workout Gym - Black/Grey 44 Yard EU,10.83,0.0,https://www.banggood.com/TENGOO-Outdoors-Mesh-Material-Breathable-Anti-slip-Lightweight-Casual-Sport-shoes-for-Running-Basketball-Workout-Gym-p-2010445.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=5655086314279,Low Budget,0.0
XHP70 Strong LED Headlamp Type-C USB Charging Outdoor Fishing Zoom Headlight Bike Running Search Head Lamp,8.03,2.0,https://www.banggood.com/XHP70-Strong-LED-Headlamp-Type-C-USB-Charging-Outdoor-Fishing-Zoom-Headlight-Bike-Running-Search-Head-Lamp-p-1992739.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=0,Low Budget,16.06
"IPRee Outdoor Solar Charging 2000LM Emergency Light Long 5000mAh Battery Life, USB Charging Portable And Long-Lasting Illumination For Outdoor Folding Camping Tent Lights - Green",13.93,18.0,"https://www.banggood.com/IPRee-Outdoor-Solar-Charging-2000LM-Emergency-Light-Long-5000mAh-Battery-Life,USB-Charging-Portable-And-Long-Lasting-Illumination-For-Outdoor-Folding-Camping-Tent-Lights-p-2032566.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6287837",Low Budget,250.74
